location,lat,long,geology,BaselineSST,RCP4.5_2091thru2100_SST,RCP6.0_2091thru2100_SST,RCP8.5_2091thru2100_SST,seasonality
SeyGran,-4.471755,55.603935,Oceanic,27.90573212,29.04440107,29.40183439,30.42229007,1.461670652
SEYCHELLES2,-7.214784,56.358612,Oceanic,27.50638077,28.60008271,28.95846233,30.06243826,1.5793903
SEYCHELLES3,-7.099943,52.812291,Oceanic,27.46587433,28.56201767,28.90581217,29.98391886,1.928675182
SEYCHELLES4,-5.525568,53.448743,Oceanic,27.72773071,28.83452774,29.19038572,30.22652552,1.808714197
SOCOTRA,12.694542,54.553361,Continental,26.63424628,28.03253996,28.37746858,29.47888358,1.582527
Solomons,-8.380361,158.53041,Continental,29.30576016,30.18497107,30.84052247,31.82976706,0.753004371
SOLOMONS2,-6.446394,156.212079,Continental,29.34745046,30.17031067,30.91606287,31.87316457,0.574632803
SOLOMONS3,-4.601256,159.587205,Oceanic,29.49563194,30.37723379,31.19124123,32.10622383,0.230668
SOLOMONS4,-3.647115,154.921094,Oceanic,29.39795105,30.33201197,31.21769363,32.12431747,0.332959462
Somalia,11.138053,46.466918,Continental,28.11220519,29.34101556,29.81996759,30.91055165,2.381939174
SOROL,8.06991,140.470893,Oceanic,28.92910927,29.8937881,30.41077062,31.57850553,0.798107295
SRILANKA1,6.223184,79.752495,Continental,28.18260263,29.32605242,29.62933598,30.76685404,0.665793
SRILANKA2,7.063134,82.066351,Continental,28.45436466,29.46736057,29.7824098,30.95406966,0.99462
SRILANKA3,10.147106,80.239463,Continental,28.48248257,29.53028314,29.70300564,30.81603652,1.25573
TAIWAN1,22.214855,121.026096,Continental,27.09116955,28.03517082,28.47251327,29.41567034,2.693107227
TAIWAN2,23.234504,119.981401,Continental,25.73935837,26.80692836,27.20896948,28.03216869,6.038980633
TAIWAN3,25.290804,121.822445,Continental,24.41052808,25.4372803,25.85157982,26.71466804,4.888173061
TAPIWA,-0.86237,169.553728,Oceanic,29.07609001,30.22533555,30.93183825,31.99471141,0.179948462
TOKELAU1,-11.095827,-170.963802,Oceanic,29.00496735,29.80403046,30.41157237,31.22460541,0.621871265
TOKELAU2,-8.852971,-172.218572,Oceanic,29.16530029,29.96244156,30.56702606,31.35484116,0.389487902
Tonga,-21.246127,-175.018235,Oceanic,25.50363143,26.48315821,26.63146906,27.43253234,1.723267205
TONGA2,-18.687071,-174.2334,Oceanic,26.81412514,27.63528934,27.99013413,28.94434441,1.299454114
Townsville,-18.912279,148.695055,Continental,26.3680159,27.26988866,27.66213389,28.73886068,2.441465886
TROMELIN,-15.895096,54.516658,Oceanic,26.57619255,27.52110603,27.92585838,28.85645175,2.0743846
Tutuila,-14.376574,-170.605761,Oceanic,28.44942352,29.1772764,29.88146138,30.77182571,0.838207553
TUVALU1,-9.18577,179.82775,Oceanic,29.30656408,30.07777253,30.73920098,31.60210712,0.431220303
TUVALU2,-5.907787,176.321952,Oceanic,29.25002419,30.10506366,30.75648221,31.62308327,0.158895947
VANUATU1,-20.34539,170.199243,Oceanic,25.79621458,26.71628549,27.10481698,28.18601052,1.833482848
VANUATU2,-17.222559,167.894825,Oceanic,27.43707108,28.20572393,28.75701965,29.85379751,1.475105477
VANUATU3,-13.977574,166.917787,Oceanic,28.2409091,29.13107061,29.67590119,30.78129224,1.030391455
VANUATU4,-10.427855,166.634326,Oceanic,29.04186333,29.94186105,30.53859109,31.56161406,0.730940424
W_AUSTRALIA1,-29.723191,114.711311,Continental,21.4710847,22.25746547,22.51697627,23.55532033,1.763657591
Abrolhos,-28.585359,114.182906,Continental,21.86314061,22.68529179,22.97655563,24.04395675,1.777535856
W_AUSTRALIA3,-26.071986,112.846688,Continental,23.09701651,24.07838171,24.31572073,25.30058681,1.817101962
W_AUSTRALIA7,-18.080712,121.940662,Continental,27.20248628,28.34447363,28.84937781,29.94618465,2.500212886
